seq,date,prefecture,cases
1,16-Jan-20,ALL,0
2,17-Jan-20,ALL,0
3,18-Jan-20,ALL,0
4,19-Jan-20,ALL,0
5,20-Jan-20,ALL,0
6,21-Jan-20,ALL,0
7,22-Jan-20,ALL,0
8,23-Jan-20,ALL,0
9,24-Jan-20,ALL,0
10,25-Jan-20,ALL,0
11,26-Jan-20,ALL,0
12,27-Jan-20,ALL,0
13,28-Jan-20,ALL,0
14,29-Jan-20,ALL,0
15,30-Jan-20,ALL,0
16,31-Jan-20,ALL,0
17,01-Feb-20,ALL,0
18,02-Feb-20,ALL,0
19,03-Feb-20,ALL,0
20,04-Feb-20,ALL,0
21,05-Feb-20,ALL,0
22,06-Feb-20,ALL,0
23,07-Feb-20,ALL,0
24,08-Feb-20,ALL,0
25,09-Feb-20,ALL,0
26,10-Feb-20,ALL,0
27,11-Feb-20,ALL,0
28,12-Feb-20,ALL,0
29,13-Feb-20,ALL,0
30,14-Feb-20,ALL,0
31,15-Feb-20,ALL,0
32,16-Feb-20,ALL,0
33,17-Feb-20,ALL,0
34,18-Feb-20,ALL,0
35,19-Feb-20,ALL,0
36,20-Feb-20,ALL,0
37,21-Feb-20,ALL,0
38,22-Feb-20,ALL,0
39,23-Feb-20,ALL,0
40,24-Feb-20,ALL,0
41,25-Feb-20,ALL,0
42,26-Feb-20,ALL,0
43,27-Feb-20,ALL,0
44,28-Feb-20,ALL,0
45,29-Feb-20,ALL,0
46,01-Mar-20,ALL,0
47,02-Mar-20,ALL,0
48,03-Mar-20,ALL,0
49,04-Mar-20,ALL,0
50,05-Mar-20,ALL,0
51,06-Mar-20,ALL,0
52,07-Mar-20,ALL,0
53,08-Mar-20,ALL,0
54,09-Mar-20,ALL,0
55,10-Mar-20,ALL,0
56,11-Mar-20,ALL,0
57,12-Mar-20,ALL,0
58,13-Mar-20,ALL,0
59,14-Mar-20,ALL,0
60,15-Mar-20,ALL,0
61,16-Mar-20,ALL,0
62,17-Mar-20,ALL,0
63,18-Mar-20,ALL,0
64,19-Mar-20,ALL,0
65,20-Mar-20,ALL,0
66,21-Mar-20,ALL,0
67,22-Mar-20,ALL,0
68,23-Mar-20,ALL,0
69,24-Mar-20,ALL,0.1
70,25-Mar-20,ALL,0.1
71,26-Mar-20,ALL,0.1
72,27-Mar-20,ALL,0.1
73,28-Mar-20,ALL,0.2
74,29-Mar-20,ALL,0.1
75,30-Mar-20,ALL,0.1
76,31-Mar-20,ALL,0.2
77,01-Apr-20,ALL,0.2
78,02-Apr-20,ALL,0.2
79,03-Apr-20,ALL,0.3
80,04-Apr-20,ALL,0.3
81,05-Apr-20,ALL,0.3
82,06-Apr-20,ALL,0.2
83,07-Apr-20,ALL,0.3
84,08-Apr-20,ALL,0.4
85,09-Apr-20,ALL,0.5
86,10-Apr-20,ALL,0.5
87,11-Apr-20,ALL,0.5
88,12-Apr-20,ALL,0.4
89,13-Apr-20,ALL,0.3
90,14-Apr-20,ALL,0.4
91,15-Apr-20,ALL,0.4
92,16-Apr-20,ALL,0.4
93,17-Apr-20,ALL,0.5
94,18-Apr-20,ALL,0.5
95,19-Apr-20,ALL,0.3
96,20-Apr-20,ALL,0.3
97,21-Apr-20,ALL,0.3
98,22-Apr-20,ALL,0.4
99,23-Apr-20,ALL,0.3
100,24-Apr-20,ALL,0.4
101,25-Apr-20,ALL,0.3
102,26-Apr-20,ALL,0.2
103,27-Apr-20,ALL,0.1
104,28-Apr-20,ALL,0.2
105,29-Apr-20,ALL,0.2
106,30-Apr-20,ALL,0.2
107,01-May-20,ALL,0.2
108,02-May-20,ALL,0.2
109,03-May-20,ALL,0.2
110,04-May-20,ALL,0.1
111,05-May-20,ALL,0.1
112,06-May-20,ALL,0.1
113,07-May-20,ALL,0.1
114,08-May-20,ALL,0.1
115,09-May-20,ALL,0.1
116,10-May-20,ALL,0.1
117,11-May-20,ALL,0
118,12-May-20,ALL,0.1
119,13-May-20,ALL,0
120,14-May-20,ALL,0.1
121,15-May-20,ALL,0
122,16-May-20,ALL,0
123,17-May-20,ALL,0
124,18-May-20,ALL,0
125,19-May-20,ALL,0
126,20-May-20,ALL,0
127,21-May-20,ALL,0
128,22-May-20,ALL,0
129,23-May-20,ALL,0
130,24-May-20,ALL,0
131,25-May-20,ALL,0
132,26-May-20,ALL,0
133,27-May-20,ALL,0
134,28-May-20,ALL,0
135,29-May-20,ALL,0
136,30-May-20,ALL,0
137,31-May-20,ALL,0
138,01-Jun-20,ALL,0
139,02-Jun-20,ALL,0
140,03-Jun-20,ALL,0
141,04-Jun-20,ALL,0
142,05-Jun-20,ALL,0
143,06-Jun-20,ALL,0
144,07-Jun-20,ALL,0
145,08-Jun-20,ALL,0
146,09-Jun-20,ALL,0
147,10-Jun-20,ALL,0
148,11-Jun-20,ALL,0
149,12-Jun-20,ALL,0
150,13-Jun-20,ALL,0
151,14-Jun-20,ALL,0
152,15-Jun-20,ALL,0
153,16-Jun-20,ALL,0
154,17-Jun-20,ALL,0
155,18-Jun-20,ALL,0.1
156,19-Jun-20,ALL,0
157,20-Jun-20,ALL,0.1
158,21-Jun-20,ALL,0
159,22-Jun-20,ALL,0
160,23-Jun-20,ALL,0
161,24-Jun-20,ALL,0.1
162,25-Jun-20,ALL,0.1
163,26-Jun-20,ALL,0.1
164,27-Jun-20,ALL,0.1
165,28-Jun-20,ALL,0.1
166,29-Jun-20,ALL,0.1
167,30-Jun-20,ALL,0.1
168,01-Jul-20,ALL,0.1
169,02-Jul-20,ALL,0.2
170,03-Jul-20,ALL,0.2
171,04-Jul-20,ALL,0.2
172,05-Jul-20,ALL,0.2
173,06-Jul-20,ALL,0.1
174,07-Jul-20,ALL,0.2
175,08-Jul-20,ALL,0.2
176,09-Jul-20,ALL,0.3
177,10-Jul-20,ALL,0.3
178,11-Jul-20,ALL,0.3
179,12-Jul-20,ALL,0.3
180,13-Jul-20,ALL,0.2
181,14-Jul-20,ALL,0.3
182,15-Jul-20,ALL,0.3
183,16-Jul-20,ALL,0.5
184,17-Jul-20,ALL,0.5
185,18-Jul-20,ALL,0.5
186,19-Jul-20,ALL,0.4
187,20-Jul-20,ALL,0.3
188,21-Jul-20,ALL,0.5
189,22-Jul-20,ALL,0.6
190,23-Jul-20,ALL,0.8
191,24-Jul-20,ALL,0.6
192,25-Jul-20,ALL,0.6
193,26-Jul-20,ALL,0.7
194,27-Jul-20,ALL,0.5
195,28-Jul-20,ALL,0.8
196,29-Jul-20,ALL,1
197,30-Jul-20,ALL,1
198,31-Jul-20,ALL,1.2
199,01-Aug-20,ALL,1.2
200,02-Aug-20,ALL,1.1
201,03-Aug-20,ALL,0.7
202,04-Aug-20,ALL,1
203,05-Aug-20,ALL,1.1
204,06-Aug-20,ALL,1.2
205,07-Aug-20,ALL,1.3
206,08-Aug-20,ALL,1.2
207,09-Aug-20,ALL,1.2
208,10-Aug-20,ALL,0.7
209,11-Aug-20,ALL,0.5
210,12-Aug-20,ALL,0.8
211,13-Aug-20,ALL,0.9
212,14-Aug-20,ALL,1.1
213,15-Aug-20,ALL,1
214,16-Aug-20,ALL,0.8
