id,time,res_age,res_gender,ch_ageY,ch_ageM,ch_gender,school,fa_num,sib_num,education,conduct,hyperactive,emotional,peer,prosocial,sdq_sum,ch_sh,ios_cg,ios_oth,scr_time,outside_playing,lessons,excludeT1T2,excludeT2T3
2,T1,34,2,1,13,1,inf,4,2,3,4,5,5,1,8,15,7,4,1,4.607142857,1,0.214285714,adopted,NA
3,T1,31,2,2,28,1,inf,7,2,4,5,7,0,2,8,14,NA,6,5,3.642857143,0.214285714,0,adopted,NA
7,T1,41,2,1,17,2,inf,3,1,4,2,7,0,4,2,13,7,5,6,1,0.25,0,adopted,NA
8,T1,48,2,8,103,2,sch,4,2,4,1,4,0,0,5,5,7,6,1,1.678571429,2,0.214285714,adopted,NA
10,T1,38,2,6,81,1,sch,4,2,2,1,3,2,3,7,9,2,4,2,2.75,1,0.214285714,adopted,NA
11,T1,34,2,4,57,1,presch,4,2,2,5,4,5,4,5,18,3,2,2,2.535714286,0.214285714,0,adopted,NA
12,T1,37,2,6,76,1,sch,4,2,2,6,10,3,3,5,22,7,7,1,2.25,0.25,0,adopted,NA
14,T1,46,2,9,118,1,sch,3,1,4,0,3,5,6,10,14,7,2,3,6.071428571,0.5,0,adopted,NA
17,T1,40,2,3,46,1,inf,5,3,4,1,2,1,0,4,4,2,5,3,4.607142857,2,0,adopted,NA
19,T1,41,1,9,116,1,sch,4,2,2,0,2,1,0,7,3,7,5,5,5.5,0.25,0.107142857,adopted,NA
21,T1,35,2,6,73,2,sch,4,2,4,0,3,2,0,6,5,7,7,1,1.857142857,2,0.214285714,adopted,NA
24,T1,47,1,8,107,1,sch,4,2,5,4,9,6,9,5,28,7,4,1,6.5,0,0.214285714,adopted,NA
26,T1,35,2,3,39,2,inf,3,1,2,1,3,0,4,7,8,7,7,1,5.25,0.5,0,adopted,NA
27,T1,34,2,7,88,2,sch,4,2,3,0,2,2,2,6,6,7,5,3,2.142857143,0.5,0,adopted,NA
29,T1,42,1,6,77,1,presch,4,2,4,4,6,1,1,4,12,2,5,3,2.285714286,1,0.214285714,adopted,NA
30,T1,37,2,6,73,2,sch,3,1,5,0,0,0,0,10,0,7,5,3,1.214285714,0.214285714,0.5,adopted,NA
31,T1,33,2,2,35,2,inf,4,2,4,1,2,2,5,5,10,NA,6,1,2.678571429,0.5,0,adopted,NA
33,T1,38,2,5,62,1,presch,5,3,2,4,7,4,4,5,19,7,3,1,2.5,1,0,adopted,NA
34,T1,29,2,2,25,2,inf,5,1,3,2,8,1,2,9,13,NA,6,2,3,2,0,adopted,NA
35,T1,47,1,9,112,2,sch,4,2,4,0,2,5,2,8,9,7,6,1,3.035714286,0.5,1,adopted,NA
40,T1,33,2,1,14,1,inf,3,1,4,1,4,0,4,1,9,NA,6,1,0,0.5,0,adopted,NA
42,T1,28,2,0,9,1,inf,3,1,3,4,8,3,3,0,18,NA,7,5,1.035714286,0.071428571,0,adopted,NA
43,T1,36,2,7,91,2,sch,6,1,3,3,7,3,0,6,13,7,5,3,7.428571429,0,0,adopted,NA
44,T1,46,2,4,56,2,presch,3,1,3,2,2,3,1,8,8,7,6,2,2.5,0.5,0,adopted,NA
45,T1,43,2,7,94,2,sch,5,3,4,0,2,0,0,3,2,7,6,1,5.5,0.035714286,0,adopted,NA
46,T1,30,2,2,24,2,inf,4,1,4,1,7,0,4,2,12,NA,7,1,1.535714286,1,0,adopted,NA
50,T1,42,2,4,59,2,presch,5,3,2,1,0,0,1,7,2,7,6,7,1.714285714,1,0.214285714,adopted,NA
51,T1,39,2,5,65,2,presch,2,1,4,2,2,2,2,5,8,2,2,2,1.5,0,0,adopted,NA
56,T1,41,2,9,109,1,sch,4,2,3,2,5,1,2,1,10,7,6,1,0.428571429,0.071428571,0,adopted,NA
